J,p,gibbs_overall,gibbs_foreground,gibbs_balanced,mf_overall,mf_foreground,mf_balanced,baseline_noisy,baseline_allbg
0.3,0.05,0.9520408163265306,0.9457170709260383,0.9491922957257347,0.9504081632653062,0.9453341368466538,0.9481160693206963,0.9504081632653062,0.8856377551020408
0.3,0.1,0.9269132653061226,0.8998844266017096,0.9148548133078304,0.9408163265306121,0.9008100137203141,0.9231050754977477,0.8996938775510205,0.8856377551020408
0.3,0.2,0.8879846938775511,0.790841022298043,0.8449318397816371,0.9060969387755101,0.8016740947389488,0.8599075152768216,0.8011224489795918,0.8856377551020408
0.5,0.05,0.9828061224489795,0.9512405824705019,0.9687562751279196,0.9862500000000002,0.9549317319267717,0.9723752219467413,0.9504081632653062,0.8856377551020408
0.5,0.1,0.9736479591836733,0.8848555513352722,0.9338762645006305,0.9751020408163265,0.8929000021130803,0.938353526849179,0.8996938775510205,0.8856377551020408
0.5,0.2,0.9423724489795917,0.6201842649539722,0.7989648138709953,0.950688775510204,0.6714833804631571,0.8263399305917468,0.8011224489795918,0.8856377551020408
0.7,0.05,0.9874489795918368,0.9207764413254736,0.9574110289903952,0.9881122448979592,0.9350309080586399,0.964235586133423,0.9504081632653062,0.8856377551020408
0.7,0.1,0.9709693877551021,0.7711417873282816,0.8811895225886692,0.9763010204081631,0.82492661763169,0.9083763343000457,0.8996938775510205,0.8856377551020408
0.7,0.2,0.9260714285714287,0.3627962216276535,0.6765220616852534,0.9449744897959182,0.5661878185753418,0.7762202758301487,0.8011224489795918,0.8856377551020408
1.0,0.05,0.979642857142857,0.8137801642796574,0.9049098841625488,0.9849744897959184,0.8706434761198966,0.9334377032793791,0.9504081632653062,0.8856377551020408
1.0,0.1,0.9549744897959184,0.5941853157102785,0.7936790417971323,0.9728061224489797,0.7769495367085933,0.884682048179187,0.8996938775510205,0.8856377551020408
1.0,0.2,0.9132908163265305,0.2410371501928558,0.6170827013191168,0.9333163265306124,0.4473492863215981,0.7174552268887355,0.8011224489795918,0.8856377551020408
