dataset,J,sigma255,psnr_noisy,psnr_potts,psnr_gain,ssim_noisy,ssim_potts,ssim_gain,sec_per_img
Set12,1.0,15,24.671660797590523,25.958809115583705,1.2871483179931822,0.5621618504530866,0.6195513888597212,0.05738953840663452,24.69737372795741
Set12,1.0,25,20.335458625574486,21.370402532426187,1.0349439068517015,0.39460491693864946,0.4319158665741676,0.03731094963551812,27.340911090373993
Set12,1.75,15,24.671660797590523,28.507322819737727,3.835662022147204,0.5621618504530866,0.7729634919843895,0.21080164153130287,27.321726898352306
Set12,1.75,25,20.335458625574486,24.440659323715924,4.105200698141438,0.39460491693864946,0.5859641749985973,0.19135925805994786,27.973487675189972
Set12,2.0,15,24.671660797590523,28.53087495741688,3.859214159826358,0.5621618504530866,0.7825157864943195,0.22035393604123288,27.802760740121204
Set12,2.0,25,20.335458625574486,25.068574268972025,4.733115643397539,0.39460491693864946,0.6300297094975612,0.23542479255891174,27.64337859551112
Set12,2.5,15,24.671660797590523,28.198715380783412,3.5270545831928892,0.5621618504530866,0.7787742775229513,0.2166124270698646,28.116293450196583
Set12,2.5,25,20.335458625574486,25.135809549857125,4.80035092428264,0.39460491693864946,0.6501949366045914,0.2555900196659419,28.34480845928192
BSD68subset,1.0,15,24.823297203726913,26.07127261680541,1.2479754130784961,0.5892360236387878,0.6598500600681916,0.07061403642940378,9.450684785842896
BSD68subset,1.0,25,20.508776937156448,21.54524051340973,1.0364635762532828,0.40549124863698954,0.4585616621134962,0.05307041347650665,9.646310830116272
BSD68subset,1.75,15,24.823297203726913,28.157253986099676,3.3339567823727627,0.5892360236387878,0.7812749152282177,0.19203889158942988,10.218980598449708
BSD68subset,1.75,25,20.508776937156448,24.469001139255788,3.96022420209934,0.40549124863698954,0.611845501886011,0.2063542532490214,10.437313008308411
BSD68subset,2.0,15,24.823297203726913,28.12158603658432,3.2982888328574056,0.5892360236387878,0.7829266962117992,0.19369067257301142,10.292388105392456
BSD68subset,2.0,25,20.508776937156448,24.954869764943588,4.44609282778714,0.40549124863698954,0.6399855387639957,0.23449429012700612,10.190963101387023
BSD68subset,2.5,15,24.823297203726913,27.73108031119341,2.9077831074664964,0.5892360236387878,0.7707647027766511,0.1815286791378633,10.193043398857117
BSD68subset,2.5,25,20.508776937156448,24.899941647555675,4.391164710399227,0.40549124863698954,0.6413869627376215,0.23589571410063198,10.136948609352112
