mode,kappa,psnr,ssim,psnr_barbara,ssim_barbara
isotropic,nan,25.0857729274902,0.6320703052895831,24.060098407333786,0.6270158525226279
perona_malik,0.05,23.334923347483727,0.5442367631904745,22.91569405777357,0.5676968943237918
perona_malik,0.1,24.549923916547243,0.6103005628759269,23.77408404755352,0.6186186330492077
perona_malik,0.15,24.86967787212946,0.6227588775093028,23.974266392605635,0.6261254135067978
perona_malik,0.25,25.04377426214333,0.6290722541240563,24.034379056630048,0.6256510096879748
perona_malik,0.4,25.073414562789097,0.6310331690212152,24.058350378204686,0.6273919533188266
cohen,0.05,22.54835827822689,0.5625671876431183,22.549817514832103,0.5544744006888433
cohen,0.1,24.356901994706742,0.6218042464839313,23.68121362154892,0.6122282010714281
cohen,0.15,24.778605262289933,0.629562206299254,23.93646915257158,0.6232599182643833
cohen,0.25,25.00330639062018,0.6326089697335774,24.031272645821666,0.6252196215159267
cohen,0.4,25.065773668257403,0.6324105534710438,24.06338982115612,0.627534342545316
