image,J_clean,J_noisy,J_iter_final,iter_status,clean_status,noisy_status
01,1.6945266723632812,1.0407638549804688,3.0504989624023438,interior,interior,interior
02,1.8441390991210938,0.9015274047851562,3.3049392700195312,interior,interior,interior
03,1.7444992065429688,0.9240341186523438,3.2913589477539062,interior,interior,interior
04,1.7687606811523438,0.9199142456054688,3.2524490356445312,interior,interior,interior
05,1.8191146850585938,0.8802413940429688,3.1050491333007812,interior,interior,interior
06,1.6831588745117188,0.8938980102539062,3.2086563110351562,interior,interior,interior
07,1.7754745483398438,1.0222244262695312,3.0672836303710938,interior,interior,interior
08,1.7098617553710938,0.8902359008789062,3.2773208618164062,interior,interior,interior
09,1.6116714477539062,0.8678817749023438,3.0157089233398438,interior,interior,interior
10,1.5601730346679688,0.9141921997070312,3.2523727416992188,interior,interior,interior
11,1.7539596557617188,0.8934402465820312,3.2681655883789062,interior,interior,interior
12,1.7711257934570312,0.9128952026367188,3.2758712768554688,interior,interior,interior
